Code;Artist;Song;Album;Year
1; The Rolling Stones;(I Can't Get No) Satisfaction;Out of Our Heads;1965
2; Aretha Franklin;Respect;I Never Loved a Man the Way I Love You;1967
3; Led Zeppelin;Stairway To Heaven;Led Zeppelin IV;1971
4; Bob Dylan;Like a Rolling Stone;Highway 61 Revisited;1965
5; Bruce Springsteen;Born to Run;Born to Run;1975
6; Eagles;Hotel California;Hotel California;1977
7; The Doors;Light My Fire;The Doors;1967
8; The Beach Boys;Good Vibrations;Smiley Smile;1966
9; The Beatles;Hey Jude;Single;1968
10; John Lennon;Imagine;Imagine;1971
11; The Kingsmen;Louie Louie;The Kingsmen In Person;1963
12; The Beatles;Yesterday;Help!;1965
13; The Who;My Generation;My Generation;1965
14; Marvin Gaye;What's Going On;What's Going On;1971
15; Chuck Berry;Johnny B. Goode;Chuck Berry Is on Top;1958
16; Derek and the Dominos;Layla;Layla and Other Assorted Love Songs;1972
17; The Who;Won't Get Fooled Again;Who's Next;1971
18; Elvis Presley;Jailhouse Rock;Jailhouse Rock;1957
19; Don McLean;American Pie;American Pie;1971
20; The Beatles;A Day in the Life;Sgt. Pepper's Lonely Hearts Club Band;1967
21; James Brown;I Got You (I Feel Good);I Got You (I Feel Good);1965
22; Stevie Wonder;Superstition;Talking book;1972
23; The Beatles;I Want to Hold Your Hand;Single;1963
24; The Rolling Stones;Brown Sugar;Sticky Fingers;1971
25; Jimi Hendrix Experience;Purple Haze;Are You Experienced;1967
26; The Rolling Stones;Sympathy for the Devil;Beggars Banquet;1968
27; Queen;Bohemian Rhapsody;A Night at the Opera;1975
28; The Kinks;You Really Got Me;Kinks;1964
29; Roy Orbison;Oh, Pretty Woman;Single;1964
30; Simon and Garfunkel;Bridge over Troubled Water;Bridge over Troubled Water;1970
31; Elvis Presley;Hound Dog;Single;1956
32; The Beatles;Let It Be;Let It Be;1970
33; Otis Redding;(Sittin' On) The Dock of the Bay;The Dock of the Bay;1968
34; Jimi Hendrix Experience;All Along the Watchtower;Electric Ladyland;1968
35; Aerosmith;Walk This Way;Toys in the Attic;1975
36; The Temptations;My Girl;Single;1965
37; Bill Haley and His Comets;Rock Around the Clock;Rock Around the Clock;1955
38; Marvin Gaye;I Heard It Through the Grapevine;In the Groove;1968
39; Creedence Clearwater Revival;Proud Mary;Bayou Country;1968
40; Steppenwolf;Born to Be Wild;Steppenwolf;1968
41; Nirvana;Smells Like Teen Spirit;Nevermind;1991
42; The Police;Every breath you take;Synchronicity;1983
43; Ray Charles;What'd I Say;What'd I Say;1951
44; Lynyrd Skynyrd;Free Bird;(Pronounced 'l?h-'nérd 'skin-'nérd);1975
